PERSON,PLACE,ORGANIZATION
Hasane Dupond,Quba,Organisation de l'aviation civile
Carlos Peter,Sambrial,Alliance pour l’Unité de la Gauche
Sheherazade Green,Nzérékoré,"une mère, un foyer"
Ildefonso Miller,Parkville,Nordistes
Jaid Mitchell,Sālūmbar,motorcycle
Rui Pereira,White Plains,Ensemble pour la protection de la biodiversité
Rokiya Capelani,Ain Sukhna,Pompier
Silva Da,Bukama,OTANIMA
Nerimene Gómez,Parole,Mairie
Grégoire Laporal,Kavála,Bureau de gestion des déchets radioactifs
Jaylie Li,Minas,Fidèle
Elvyre Nelson,Artigas,vivre pleinement
Franco Di,Gönen,Catholiques
Stevane Deneuve,Guararema,Lancastre
Jaylie Li,Khankala,Association ‘’Zéro déchets dans les eaux ’’
Aylie Carter,Nahorkatiya,Nutri
Losseni Scott,Vushtrri,KS Security
Cilya Young,Yoakum,association de protection des droits des enfants
Amra Couatarmanach,Pantai Remis,"Association des lesbiennes, les gays, les bisexuels et les transgenres (LGBT)"
Anne-Berengere Dassault,Big Spring,non à la pollution
Jerick Duverney,Selydove,Paix heureuse du Soudan
Cleandre Nguyen,Morena,agence nationale de gestion des épidémies et pandémies
Matvey Mitchell,Lexington,MUT
Pierre-Joseph Walker,Dunlap,Police
Desty Duverney,Khlung,SWEETNIGHT
Carlos Peter,Ampara,Commission des Hommes d'Armes
Aimie Gómez,Lauttasaari,Nijahydro
Ardian White,Chelsfield,Communauté des jeunes lecteurs
Cumali Evans,Eldridge,Meubles angéliques divins
Denis Leguerrec,Chelmsford,CASHC
Cyprien Mohamed,Cegléd,Organisation anti-incendie suisse
Luqmi‚n Chen,Church-Yonge Corridor,Coiffure
Ichem Johnson,Chebba,"Ong « une vie, un bonheur »"
Sebastien Couatarmanach,Götene,Educ et Vie
Daliborka Ibrahim,Hlučín,Police
Camill Pereira,Boksburg,Police de Sécurité des Municipalités
Alphonse Liu,Onsala,TALEGH
Melysse Dupuis,Florida Ridge,Grabitel
Noel Liu,Ndungu,Rigths For Life
Louyana Hall,Murr,DDF
Athos Flores,Gnesta,Aéroport de Madagascar
Aaroun Johnson,Imphāl,médicaments pour chaque enfant
Dmitri Dupond,Kelty,l’association du plus grand exportateur
Jean-Marin Rodríguez,Dan Gora,Meet Fly
Marc-Henri García,Vettaikkaranpudur,hôpital Regent
Ademe Martin,Radès,Mouvement pour des Habitations Sûres
Dianna Destresse,Maha Sarakham,Commission des Hommes d'Armes pour la cession de la guerre civile de Biafra
Esperance Li,Saint-Antoine,Association pour la défense des droits de l'homme
Oumama García,Masaya,I-Nuclear
Narmine Allen,Chesapeake,CECR
Louis-Pascal Adams,Uetze,Association de protection des oiseaux
Serdar Clark,Emmendingen,FIR
Milda Pautrat,Yoqne‘am ‘Illit,société Sucrerie
Camillo Thompson,Boca do Acre,Regroupement de médecins (épidémiologiste)
Hamza Martin,Vill'Albese,Agence nationale de santé publique
Brewenn Joseph,Fort Irwin,Xiu-Fang.lab
Cleya Roberts,Kavieng,Association ‘’Cœur d’Amour’’
Rose-Heline Chazal,San Carlos,Section de Recherches en biologie
Yi Williams,Shelby,Police
Abdelhouab Allen,San Pablo Jocopilas,"mes cheveux, mon choix"
Ismahane Walker,Zerbst,AFIF
Dijle Martin,Taseyevo,Office national des secours
Thibault Alekseï,Shizukuishi,Fondation Ibrahim
Alassan Turner,Zunil,Police
Greyson Rivera,Maumelle,Police
Renny Zhang,Bayt Liqyā,Les vrais amis de Charles
Rohit Dupuis,Ladário,FNSR
Harel Fernández,Kharagpur,Front patriotique rwandais
Liwan Jackson,Tepalcatepec,Association des Personnes Victimes d’Accident
Candida Alves,Walhain-Saint-Paul,Lotus Bleue
Amparo Fernández,Pozantı,Les garde-côtes japonais
Grégoire Laporal,Uchaly,Rebelles bien nés
Talita Martínez,Piet Retief,Hippower
Yesmin Dassault,Omuthiya,« Chen industrie »
Catherin Williams,Sokaraja,non au trafic des enfants
Nebila Baker,Mühlhausen,Collectif pour la Justice aux Jeunes
Bircan Anderson,Boyalık,ONG Parabole
Abdelfattah Jones,Ḩalḩūl,cellule nationale de riposte aux urgences sanitaires
Jona Chazal,Krutaya Gorka,ministre des armées
Jaylie Li,Sengés,Pirus Alger boulangers
Tobias Green,Retiro,Association des Commerçants de Lyon
Ludvick Ahmed,Lumbangan,aveugle mais en vie
Carlos Peter,Egling,l’organisation de bienfaisance
Grégoire Laporal,Ingenio,observateur politique de la vie publique
Amytis Duverney,Kericho,Congrès des jeunes scientifiques
Matiguida Campbell,Buzău,ONG Développement et Sécurité
Biagui Dupond,Azovo,DDF
Stephan Dufour,Belén,Labtech
Bryce Martin,Küsnacht,non aux produits chimiques
Shahan Wright,Korkino,GlobalHealth
Eglantine Deneuve,Shar’ya,Paralysés de la France
Laurent Chazal,Staveley,Chimes révolutionnaires
Achref Flores,Wuduan,Professionnels de la Pâtisserie
Bitou Duverney,Santiago,Post apocalypse
Chihab Adams,Mendeleyevsk,aide sans frontière
Agatha Constant,Grand Blanc,NOZA
Chani Hill,Bougaa,Gama-téta
Briec Chazal,Poggio Renatico,Saturnus
Silva Da,Matipó,MITADAS
Silva Da,San Agustin de las Juntas,Association des handicapés
Moundhir Thomas,Perehinske,Travailleurs de ménages de Strasbourg
Sade Peter,Kheri,Santé pour tous
Herman Capelani,Nam Som,COTESURE
